,cord1,cord2,cord3,cord4,cord5,cord6,cord7,cord8,center1,center2,angle,solution1,solution2
0,-98.50875283266119,29.408529735303595,-98.51142590993007,29.408730124531868,-98.51188601212057,29.404073281751366,-98.50921293485169,29.403872892523093,-98.51031942239088,29.40630150852748,6.197334578321849,-98.5098131,29.4066214
1,-98.4860250496117,29.428529069880437,-98.48819980299113,29.427160441950257,-98.48505737505687,29.423371743175156,-98.48288262167745,29.424740371105333,-98.48554121233428,29.425950406527797,0.625653871009753,-98.48487,29.42635
2,-98.47905480318286,29.395815210400627,-98.47952314286799,29.39811635700102,-98.48480667332828,29.397300449317772,-98.48433833364314,29.394999302717384,-98.48193073825557,29.396557829859198,4.887848806025339,-98.481705,29.396238
3,-98.4831778741665,29.418992806181844,-98.48492318049932,29.420767762639734,-98.48899855601401,29.41772721559292,-98.48725324968119,29.415952259135025,-98.48608821509026,29.41836001088738,5.420652124275023,-98.486718,29.416834
4,-98.49050999874625,29.406314286748692,-98.48825679433702,29.405045599001326,-98.48534383331287,29.408970969512787,-98.4875970377221,29.410239657260156,-98.48792691602955,29.40764262813074,2.567749479068201,-98.488397,29.407957
5,-98.48910620311848,29.43001511730873,-98.49022530604631,29.42789110061019,-98.48534847337386,29.4259414800546,-98.48422937044603,29.428065496753145,-98.48722733824617,29.427978298681666,1.140527348701996,-98.4876416,29.4275659
6,-98.50398074180877,29.439049274843494,-98.50666221792066,29.439126948423525,-98.50684055976382,29.434455473783395,-98.50415908365193,29.434377800203364,-98.50541065078629,29.436752374313443,6.249943141457158,-98.5062004,29.4367674
7,-98.49335044933082,29.396660858656375,-98.4928415958286,29.398955469036594,-98.49811011884937,29.399841956975337,-98.4986189723516,29.39754734659512,-98.49573028409009,29.398251407815856,4.521571756909799,-98.495272,29.398418
8,-98.50661200867901,29.391648429185505,-98.5058873140183,29.39389858886682,-98.51105377634394,29.39516109973327,-98.51177847100467,29.392910940051955,-98.50883289251149,29.393404764459387,4.438881403521651,-98.507887,29.394234
9,-98.49489780036295,29.399504769338648,-98.49445694520546,29.397199506667288,-98.48916396407118,29.39796753278511,-98.48960481922867,29.40027279545647,-98.49203088221707,29.39873615106188,1.7358616930019628,-98.493275,29.398515
10,-98.50810160272526,29.431395123962908,-98.50870943221204,29.433671387530687,-98.51393583017119,29.432612470757043,-98.51332800068442,29.430336207189264,-98.51101871644823,29.432003797359975,4.940925115662115,-98.5104294,29.4316952
11,-98.47583218975268,29.41192928709125,-98.47614551004972,29.41425032469919,-98.48147471110929,29.41370448063391,-98.48116139081225,29.41138344302597,-98.47865345043098,29.41281688386258,4.829437713652433,-98.4792069,29.4127085
12,-98.49993430188471,29.409060716478834,-98.49907271439868,29.406847471124888,-98.4939910089386,29.40834846681656,-98.49485259642462,29.41056171217051,-98.49696265541165,29.408704591647695,1.8977223387670485,-98.496504,29.409625
